"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"995","BS712466","ES798853"
"996","BS712466","ES798854"
"997","BS712468","ES798855"
"998","BS712468","ES798856"
"999","BS712468","ES798857"
"1000","BS712470","ES798858"
"1001","BS712470","ES798859"
"1002","BS712470","ES798860"
"1003","BS712472","ES798861"
"1004","BS712472","ES798862"
"1005","BS712472","ES798863"
"1006","BS712476","ES798864"
"1007","BS712476","ES798865"
"1008","BS712476","ES798866"
"1009","BS712480","ES798867"
"1010","BS712480","ES798868"
"1011","BS712480","ES798869"
"1012","BS712482","ES798870"
"1013","BS712482","ES798871"
"1014","BS712482","ES798872"
"1015","BS712484","ES798873"
"1016","BS712484","ES798874"
"1017","BS712484","ES798875"
"1018","BS712486","ES798876"
"1019","BS712486","ES798877"
"1020","BS712486","ES798878"
"1021","BS712490","ES798879"
"1022","BS712490","ES798880"
"1023","BS712490","ES798881"
"1024","BS712494","ES798882"
"1025","BS712494","ES798883"
"1026","BS712494","ES798884"
"1027","BS712496","ES798885"
"1028","BS712496","ES798886"
"1029","BS712496","ES798887"
"1030","BS712498","ES798888"
"1031","BS712498","ES798889"
"1032","BS712498","ES798890"
"1033","BS712500","ES798891"
"1034","BS712500","ES798892"
"1035","BS712500","ES798893"
"1036","BS712504","ES798894"
"1037","BS712504","ES798895"
"1038","BS712504","ES798896"
"1039","BS712508","ES798897"
"1040","BS712508","ES798898"
"1041","BS712508","ES798899"
"1042","BS712510","ES798900"
"1043","BS712510","ES798901"
"1044","BS712510","ES798902"
"1045","BS712512","ES798903"
"1046","BS712512","ES798904"
"1047","BS712512","ES798905"
"1048","BS712514","ES798906"
"1049","BS712514","ES798907"
"1050","BS712514","ES798908"
"1051","BS712518","ES798909"
"1052","BS712518","ES798910"
"1053","BS712518","ES798911"
"1054","BS712522","ES798912"
"1055","BS712522","ES798913"
"1056","BS712522","ES798914"
"1057","BS712524","ES798915"
"1058","BS712524","ES798916"
"1059","BS712524","ES798917"
"1060","BS712526","ES798918"
"1061","BS712526","ES798919"
"1062","BS712526","ES798920"
"1063","BS712528","ES798921"
"1064","BS712528","ES798922"
"1065","BS712528","ES798923"
"1066","BS712532","ES798924"
"1067","BS712532","ES798925"
"1068","BS712532","ES798926"
"1069","BS712536","ES798927"
"1070","BS712536","ES798928"
"1071","BS712536","ES798929"
"1072","BS712538","ES798930"
"1073","BS712538","ES798931"
"1074","BS712538","ES798932"
"1075","BS712540","ES798933"
"1076","BS712540","ES798934"
"1077","BS712540","ES798935"
"1078","BS712542","ES798936"
"1079","BS712542","ES798937"
"1080","BS712542","ES798938"
"1081","BS712546","ES798939"
"1082","BS712546","ES798940"
"1083","BS712546","ES798941"
"1084","BS712550","ES798942"
"1085","BS712550","ES798943"
"1086","BS712550","ES798944"
"1087","BS712552","ES798945"
"1088","BS712552","ES798946"
"1089","BS712552","ES798947"
"1090","BS712554","ES798948"
"1091","BS712554","ES798949"
"1092","BS712554","ES798950"
"1093","BS712556","ES798951"
"1094","BS712556","ES798952"
"1095","BS712556","ES798953"
"1096","BS712560","ES798954"
"1097","BS712560","ES798955"
"1098","BS712560","ES798956"
"1099","BS712564","ES798957"
"1100","BS712564","ES798958"
"1101","BS712564","ES798959"
"1102","BS712566","ES798960"
"1103","BS712566","ES798961"
"1104","BS712566","ES798962"
"1105","BS712568","ES798963"
"1106","BS712568","ES798964"
"1107","BS712568","ES798965"
"1108","BS712570","ES798966"
"1109","BS712570","ES798967"
"1110","BS712570","ES798968"
"1111","BS712574","ES798969"
"1112","BS712574","ES798970"
"1113","BS712574","ES798971"
"1114","BS712578","ES798972"
"1115","BS712578","ES798973"
"1116","BS712578","ES798974"
"1117","BS712580","ES798975"
"1118","BS712580","ES798976"
"1119","BS712580","ES798977"
"1120","BS712582","ES798978"
"1121","BS712582","ES798979"
"1122","BS712582","ES798980"
"1123","BS712584","ES798981"
"1124","BS712584","ES798982"
"1125","BS712584","ES798983"
"1126","BS712588","ES798984"
"1127","BS712588","ES798985"
"1128","BS712588","ES798986"
"1129","BS712592","ES798987"
"1130","BS712592","ES798988"
"1131","BS712592","ES798989"
"1132","BS712594","ES798990"
"1133","BS712594","ES798991"
"1134","BS712594","ES798992"
"1135","BS712596","ES798993"
"1136","BS712596","ES798994"
"1137","BS712596","ES798995"
"1138","BS712598","ES798996"
"1139","BS712598","ES798997"
"1140","BS712598","ES798998"
"1141","BS712602","ES798999"
"1142","BS712602","ES799000"
"1143","BS712602","ES799001"
"1144","BS712606","ES799002"
"1145","BS712606","ES799003"
"1146","BS712606","ES799004"
"1147","BS712608","ES799005"
"1148","BS712608","ES799006"
"1149","BS712608","ES799007"
"1150","BS712610","ES799008"
"1151","BS712610","ES799009"
"1152","BS712610","ES799010"
"1153","BS712612","ES799011"
"1154","BS712612","ES799012"
"1155","BS712612","ES799013"
"1156","BS712616","ES799014"
"1157","BS712616","ES799015"
"1158","BS712616","ES799016"
"1159","BS712620","ES799017"
"1160","BS712620","ES799018"
"1161","BS712620","ES799019"
"1162","BS712622","ES799020"
"1163","BS712622","ES799021"
"1164","BS712622","ES799022"
"1165","BS712624","ES799023"
"1166","BS712624","ES799024"
"1167","BS712624","ES799025"
"1168","BS712626","ES799026"
"1169","BS712626","ES799027"
"1170","BS712626","ES799028"
"1171","BS712630","ES799029"
"1172","BS712630","ES799030"
"1173","BS712630","ES799031"
"1174","BS712634","ES799032"
"1175","BS712634","ES799033"
"1176","BS712634","ES799034"
"1177","BS712636","ES799035"
"1178","BS712636","ES799036"
"1179","BS712636","ES799037"
"1180","BS712638","ES799038"
"1181","BS712638","ES799039"
"1182","BS712638","ES799040"
"1183","BS712640","ES799041"
"1184","BS712640","ES799042"
"1185","BS712640","ES799043"
"1186","BS712644","ES799044"
"1187","BS712644","ES799045"
"1188","BS712644","ES799046"
"1189","BS712648","ES799047"
"1190","BS712648","ES799048"
"1191","BS712648","ES799049"
"1192","BS712650","ES799050"
"1193","BS712650","ES799051"
"1194","BS712650","ES799052"
"1195","BS712654","ES799053"
"1196","BS712654","ES799054"
"1197","BS712654","ES799055"
"1198","BS712656","ES799056"
"1199","BS712656","ES799057"
"1200","BS712656","ES799058"
"1201","BS712658","ES799059"
"1202","BS712658","ES799060"
"1203","BS712658","ES799061"
"1204","BS712660","ES799062"
"1205","BS712660","ES799063"
"1206","BS712660","ES799064"
"1207","BS712664","ES799065"
"1208","BS712664","ES799066"
"1209","BS712664","ES799067"
"1210","BS712666","ES799068"
"1211","BS712666","ES799069"
"1212","BS712666","ES799070"
"1213","BS712670","ES799071"
"1214","BS712670","ES799072"
"1215","BS712670","ES799073"
"1216","BS712672","ES799074"
"1217","BS712672","ES799075"
"1218","BS712672","ES799076"
"1219","BS712674","ES799077"
"1220","BS712674","ES799078"
"1221","BS712674","ES799079"
"1222","BS712676","ES799080"
"1223","BS712676","ES799081"
"1224","BS712676","ES799082"
"1225","BS712680","ES799083"
"1226","BS712680","ES799084"
"1227","BS712680","ES799085"
"1228","BS712682","ES799086"
"1229","BS712682","ES799087"
"1230","BS712682","ES799088"
"1231","BS712686","ES799089"
"1232","BS712686","ES799090"
"1233","BS712686","ES799091"
"1234","BS712688","ES799092"
"1235","BS712688","ES799093"
"1236","BS712688","ES799094"
"1237","BS712690","ES799095"
"1238","BS712690","ES799096"
"1239","BS712690","ES799097"
"1240","BS712692","ES799098"
"1241","BS712692","ES799099"
"1242","BS712692","ES799100"
"1243","BS712696","ES799101"
"1244","BS712696","ES799102"
"1245","BS712696","ES799103"
"1246","BS712698","ES799104"
"1247","BS712698","ES799105"
"1248","BS712698","ES799106"
"1249","BS712712","ES799107"
"1250","BS712712","ES799108"
"1251","BS712712","ES799109"
"1252","BS712702","ES799110"
"1253","BS712702","ES799111"
"1254","BS712702","ES799112"
"1255","BS712704","ES799113"
"1256","BS712704","ES799114"
"1257","BS712704","ES799115"
"1258","BS712706","ES799116"
"1259","BS712706","ES799117"
"1260","BS712706","ES799118"
"1261","BS712708","ES799119"
"1262","BS712708","ES799120"
"1263","BS712708","ES799121"
"1264","BS712714","ES799122"
"1265","BS712714","ES799123"
"1266","BS712714","ES799124"
"1267","BS712718","ES799125"
"1268","BS712718","ES799126"
"1269","BS712718","ES799127"
"1270","BS712720","ES799128"
"1271","BS712720","ES799129"
"1272","BS712720","ES799130"
"1273","BS712722","ES799131"
"1274","BS712722","ES799132"
"1275","BS712722","ES799133"
"1276","BS712724","ES799134"
"1277","BS712724","ES799135"
"1278","BS712724","ES799136"
"1279","BS712728","ES799137"
"1280","BS712728","ES799138"
"1281","BS712728","ES799139"
"1282","BS712730","ES799140"
"1283","BS712730","ES799141"
"1284","BS712730","ES799142"
"1285","BS712734","ES799143"
"1286","BS712734","ES799144"
"1287","BS712734","ES799145"
"1288","BS712736","ES799146"
"1289","BS712736","ES799147"
"1290","BS712736","ES799148"
"1291","BS712738","ES799149"
"1292","BS712738","ES799150"
"1293","BS712738","ES799151"
"1294","BS712740","ES799152"
"1295","BS712740","ES799153"
"1296","BS712740","ES799154"
"1297","BS712744","ES799155"
"1298","BS712744","ES799156"
"1299","BS712744","ES799157"
"1300","BS712746","ES799158"
"1301","BS712746","ES799159"
"1302","BS712746","ES799160"
"1303","BS712750","ES799161"
"1304","BS712750","ES799162"
"1305","BS712750","ES799163"
"1306","BS712752","ES799164"
"1307","BS712752","ES799165"
"1308","BS712752","ES799166"
"1309","BS712754","ES799167"
"1310","BS712754","ES799168"
"1311","BS712754","ES799169"
"1312","BS712756","ES799170"
"1313","BS712756","ES799171"
"1314","BS712756","ES799172"
"1315","BS712760","ES799173"
"1316","BS712760","ES799174"
"1317","BS712760","ES799175"
"1318","BS712762","ES799176"
"1319","BS712762","ES799177"
"1320","BS712762","ES799178"
"1321","BS712766","ES799179"
"1322","BS712766","ES799180"
"1323","BS712766","ES799181"
"1324","BS712768","ES799182"
"1325","BS712768","ES799183"
"1326","BS712768","ES799184"
"1327","BS712770","ES799185"
"1328","BS712770","ES799186"
"1329","BS712770","ES799187"
"1330","BS712772","ES799188"
"1331","BS712772","ES799189"
"1332","BS712772","ES799190"
"1333","BS712776","ES799191"
"1334","BS712776","ES799192"
"1335","BS712776","ES799193"
"1336","BS712778","ES799194"
"1337","BS712778","ES799195"
"1338","BS712778","ES799196"
"1339","BS712782","ES799197"
"1340","BS712782","ES799198"
"1341","BS712782","ES799199"
"1342","BS712784","ES799200"
"1343","BS712784","ES799201"
"1344","BS712784","ES799202"
"1345","BS712786","ES799203"
"1346","BS712786","ES799204"
"1347","BS712786","ES799205"
"1348","BS712788","ES799206"
"1349","BS712788","ES799207"
"1350","BS712788","ES799208"
"1351","BS712792","ES799209"
"1352","BS712792","ES799210"
"1353","BS712792","ES799211"
"1354","BS712794","ES799212"
"1355","BS712794","ES799213"
"1356","BS712794","ES799214"
"1357","BS712798","ES799215"
"1358","BS712798","ES799216"
"1359","BS712798","ES799217"
"1360","BS712800","ES799218"
"1361","BS712800","ES799219"
"1362","BS712800","ES799220"
"1363","BS712802","ES799221"
"1364","BS712802","ES799222"
"1365","BS712802","ES799223"
"1366","BS712804","ES799224"
"1367","BS712804","ES799225"
"1368","BS712804","ES799226"
"1369","BS712808","ES799227"
"1370","BS712808","ES799228"
"1371","BS712808","ES799229"
"1372","BS712810","ES799230"
"1373","BS712810","ES799231"
"1374","BS712810","ES799232"
"1375","BS712814","ES799233"
"1376","BS712814","ES799234"
"1377","BS712814","ES799235"
"1378","BS712816","ES799236"
"1379","BS712816","ES799237"
"1380","BS712816","ES799238"
"1381","BS712818","ES799239"
"1382","BS712818","ES799240"
"1383","BS712818","ES799241"
"1384","BS712820","ES799242"
"1385","BS712820","ES799243"
"1386","BS712820","ES799244"
"1387","BS712824","ES799245"
"1388","BS712824","ES799246"
"1389","BS712824","ES799247"
"1390","BS712826","ES799248"
"1391","BS712826","ES799249"
"1392","BS712826","ES799250"
"1393","BS712830","ES799251"
"1394","BS712830","ES799252"
"1395","BS712830","ES799253"
"1396","BS712832","ES799254"
"1397","BS712832","ES799255"
"1398","BS712832","ES799256"
"1399","BS712834","ES799257"
"1400","BS712834","ES799258"
"1401","BS712834","ES799259"
"1402","BS712836","ES799260"
"1403","BS712836","ES799261"
"1404","BS712836","ES799262"
"1405","BS712840","ES799263"
"1406","BS712840","ES799264"
"1407","BS712840","ES799265"
"1408","BS712842","ES799266"
"1409","BS712842","ES799267"
"1410","BS712842","ES799268"
"1411","BS712846","ES799269"
"1412","BS712846","ES799270"
"1413","BS712846","ES799271"
"1414","BS712848","ES799272"
"1415","BS712848","ES799273"
"1416","BS712848","ES799274"
"1417","BS712850","ES799275"
"1418","BS712850","ES799276"
"1419","BS712850","ES799277"
"1420","BS712852","ES799278"
"1421","BS712852","ES799279"
"1422","BS712852","ES799280"
"1423","BS712856","ES799281"
"1424","BS712856","ES799282"
"1425","BS712856","ES799283"
"1426","BS712858","ES799284"
"1427","BS712858","ES799285"
"1428","BS712858","ES799286"
"1429","BS712862","ES799287"
"1430","BS712862","ES799288"
"1431","BS712862","ES799289"
"1432","BS712864","ES799290"
"1433","BS712864","ES799291"
"1434","BS712864","ES799292"
"1435","BS712866","ES799293"
"1436","BS712866","ES799294"
"1437","BS712866","ES799295"
"1438","BS712868","ES799296"
"1439","BS712868","ES799297"
"1440","BS712868","ES799298"
"1441","BS712872","ES799299"
"1442","BS712872","ES799300"
"1443","BS712872","ES799301"
"1444","BS751054","ES823339"
"1445","BS751055","ES823340"
"1446","BS751056","ES823341"
"1447","BS751057","ES823342"
"1448","BS751058","ES823343"
"1449","BS751059","ES823344"
"1450","BS751060","ES823345"
"1451","BS751061","ES823346"
"1452","BS751062","ES823347"
"1453","BS751063","ES823348"
"1454","BS751064","ES823349"
"1455","BS751065","ES823350"
"1456","BS751066","ES823351"
"1457","BS751067","ES823352"
"1458","BS751068","ES823353"
"1459","BS751069","ES823354"
"1460","BS751070","ES823355"
"1461","BS751071","ES823356"
"1462","BS751072","ES823357"
"1463","BS751073","ES823358"
"1464","BS751074","ES823359"
"1465","BS751075","ES823360"
"1466","BS751076","ES823361"
"1467","BS751077","ES823362"
"1468","BS751078","ES823363"
"1469","BS751079","ES823364"
"1470","BS751080","ES823365"
"1471","BS751081","ES823366"
"1472","BS751082","ES823367"
"1473","BS751083","ES823368"
"1474","BS751084","ES823369"
"1475","BS751085","ES823370"
"1476","BS751086","ES823371"
"1477","BS751087","ES823372"
"1478","BS751088","ES823373"
"1479","BS751089","ES823374"
"1480","BS751090","ES823375"
"1481","BS751091","ES823376"
