"","EXPSAMPLE_ACCESSION","TREATMENT_ACCESSION"
"393","ES770012","TRT1105"
"394","ES770013","TRT1105"
"395","ES770014","TRT1105"
"396","ES770015","TRT1105"
"397","ES770016","TRT1105"
"398","ES770017","TRT1105"
"399","ES770018","TRT1105"
"400","ES770019","TRT1105"
"401","ES770020","TRT1105"
"402","ES770021","TRT1105"
"403","ES770022","TRT1105"
"404","ES770023","TRT1105"
"405","ES770024","TRT1105"
"406","ES770025","TRT1105"
"407","ES770026","TRT1105"
"408","ES770027","TRT1105"
"409","ES770028","TRT1105"
"410","ES770029","TRT1105"
"411","ES770030","TRT1105"
"412","ES770031","TRT1105"
"413","ES770032","TRT1105"
"414","ES770033","TRT1105"
"415","ES770034","TRT1105"
"416","ES770035","TRT1105"
"417","ES770036","TRT1105"
"418","ES770037","TRT1105"
"419","ES770038","TRT1105"
"420","ES770039","TRT1105"
"421","ES770040","TRT1105"
"422","ES770041","TRT1105"
"423","ES770042","TRT1105"
"424","ES770043","TRT1105"
"425","ES770044","TRT1105"
"426","ES770045","TRT1105"
"427","ES770046","TRT1105"
"428","ES770047","TRT1105"
"429","ES770048","TRT1105"
"430","ES770049","TRT1105"
"431","ES770050","TRT1105"
"432","ES770051","TRT1105"
"433","ES770052","TRT1105"
"434","ES770053","TRT1105"
"435","ES770054","TRT1105"
"436","ES770055","TRT1105"
"437","ES770056","TRT1105"
"438","ES770057","TRT1105"
"439","ES770058","TRT1105"
"440","ES770059","TRT1105"
"441","ES770060","TRT1105"
"442","ES770061","TRT1105"
"443","ES770062","TRT1105"
"444","ES770063","TRT1105"
"445","ES770064","TRT1105"
"446","ES770065","TRT1105"
"447","ES770066","TRT1105"
"448","ES770067","TRT1105"
"449","ES770068","TRT1105"
"450","ES770069","TRT1105"
"451","ES770070","TRT1105"
"452","ES770071","TRT1105"
"453","ES770072","TRT1105"
"454","ES770553","TRT1105"
"455","ES770554","TRT1105"
"456","ES770555","TRT1105"
"457","ES770556","TRT1105"
"458","ES770557","TRT1105"
"459","ES770558","TRT1105"
"460","ES770559","TRT1105"
"461","ES770560","TRT1105"
"462","ES770561","TRT1105"
"463","ES770562","TRT1105"
"464","ES770563","TRT1105"
"465","ES770564","TRT1105"
"466","ES770565","TRT1105"
"467","ES770566","TRT1105"
"468","ES770567","TRT1105"
"469","ES770568","TRT1105"
"470","ES770569","TRT1105"
"471","ES770570","TRT1105"
"472","ES770571","TRT1105"
"473","ES770572","TRT1105"
"474","ES770573","TRT1105"
"475","ES770574","TRT1105"
"476","ES770575","TRT1105"
"477","ES770576","TRT1105"
"478","ES770577","TRT1105"
"479","ES770578","TRT1105"
"480","ES770579","TRT1105"
"481","ES770580","TRT1105"
"482","ES770581","TRT1105"
"483","ES770582","TRT1105"
"484","ES770583","TRT1105"
"485","ES770584","TRT1105"
"486","ES770585","TRT1105"
"487","ES770586","TRT1105"
"488","ES770587","TRT1105"
"489","ES770588","TRT1105"
"490","ES770589","TRT1105"
"491","ES770590","TRT1105"
"492","ES770591","TRT1105"
"493","ES770592","TRT1105"
"494","ES770593","TRT1105"
"495","ES770594","TRT1105"
"496","ES770595","TRT1105"
"497","ES770596","TRT1105"
"498","ES770597","TRT1105"
"499","ES770598","TRT1105"
"500","ES770599","TRT1105"
"501","ES770600","TRT1105"
"502","ES770601","TRT1105"
"503","ES770602","TRT1105"
"504","ES770603","TRT1105"
"505","ES770604","TRT1105"
"506","ES770605","TRT1105"
"507","ES770606","TRT1105"
"508","ES770607","TRT1105"
"509","ES770608","TRT1105"
"510","ES770609","TRT1105"
"511","ES770610","TRT1105"
"512","ES770611","TRT1105"
"513","ES770612","TRT1105"
"514","ES770613","TRT1105"
"515","ES770614","TRT1105"
"516","ES770615","TRT1105"
"517","ES770616","TRT1105"
"518","ES770617","TRT1105"
"519","ES770618","TRT1105"
"520","ES770619","TRT1105"
"521","ES770620","TRT1105"
"522","ES770621","TRT1105"
"523","ES770622","TRT1105"
"524","ES770623","TRT1105"
"525","ES770624","TRT1105"
"526","ES770625","TRT1105"
"527","ES770626","TRT1105"
"528","ES770627","TRT1105"
"529","ES770628","TRT1105"
"530","ES770629","TRT1105"
"531","ES770630","TRT1105"
"532","ES770631","TRT1105"
"533","ES770632","TRT1105"
"534","ES770633","TRT1105"
"535","ES770634","TRT1105"
"536","ES770635","TRT1105"
"537","ES770636","TRT1105"
"538","ES770637","TRT1105"
"539","ES770638","TRT1105"
"540","ES770639","TRT1105"
"541","ES770640","TRT1105"
"542","ES770641","TRT1105"
"543","ES770642","TRT1105"
"544","ES770643","TRT1105"
"545","ES770644","TRT1105"
"546","ES770645","TRT1105"
"547","ES770646","TRT1105"
"548","ES770647","TRT1105"
"549","ES770648","TRT1105"
"550","ES770649","TRT1105"
"551","ES770650","TRT1105"
"552","ES770651","TRT1105"
"553","ES770652","TRT1105"
"554","ES770653","TRT1105"
"555","ES770654","TRT1105"
"556","ES770655","TRT1105"
"557","ES770656","TRT1105"
"558","ES770657","TRT1105"
"559","ES770658","TRT1105"
"560","ES770659","TRT1105"
"561","ES770660","TRT1105"
"562","ES770661","TRT1105"
"563","ES770662","TRT1105"
"564","ES770663","TRT1105"
"565","ES770664","TRT1105"
"566","ES770665","TRT1105"
"567","ES770666","TRT1105"
"568","ES770667","TRT1105"
"569","ES770668","TRT1105"
"570","ES770669","TRT1105"
"571","ES770670","TRT1105"
"572","ES770671","TRT1105"
"573","ES770672","TRT1105"
"574","ES770673","TRT1105"
"575","ES770674","TRT1105"
"576","ES770675","TRT1105"
"577","ES770676","TRT1105"
"578","ES770677","TRT1105"
"579","ES770678","TRT1105"
"580","ES770679","TRT1105"
"581","ES770680","TRT1105"
"582","ES770681","TRT1105"
"583","ES770682","TRT1105"
"584","ES770683","TRT1105"
"585","ES770684","TRT1105"
"586","ES770685","TRT1105"
"587","ES770686","TRT1105"
"588","ES770687","TRT1105"
"589","ES770688","TRT1105"
"590","ES770689","TRT1105"
"591","ES770690","TRT1105"
"592","ES770691","TRT1105"
"593","ES770692","TRT1105"
"594","ES770693","TRT1105"
"595","ES770694","TRT1105"
"596","ES770695","TRT1105"
"597","ES770696","TRT1105"
"598","ES770697","TRT1105"
"599","ES770698","TRT1105"
"600","ES770699","TRT1105"
"601","ES770700","TRT1105"
"602","ES770701","TRT1105"
"603","ES770702","TRT1105"
"604","ES770703","TRT1105"
"605","ES770704","TRT1105"
"606","ES770705","TRT1105"
"607","ES770706","TRT1105"
"608","ES770707","TRT1105"
"609","ES770708","TRT1105"
"610","ES770709","TRT1105"
"611","ES770710","TRT1105"
"612","ES770711","TRT1105"
"613","ES770712","TRT1105"
"614","ES770713","TRT1105"
"615","ES770714","TRT1105"
"616","ES770715","TRT1105"
"617","ES770716","TRT1105"
"618","ES770717","TRT1105"
"619","ES770718","TRT1105"
"620","ES770719","TRT1105"
"621","ES770720","TRT1105"
"622","ES770721","TRT1105"
"623","ES770722","TRT1105"
"624","ES770723","TRT1105"
"625","ES770724","TRT1105"
"626","ES770725","TRT1105"
"627","ES770726","TRT1105"
"628","ES770727","TRT1105"
"629","ES770728","TRT1105"
"630","ES770729","TRT1105"
"631","ES770730","TRT1105"
"632","ES770731","TRT1105"
"633","ES770732","TRT1105"
"634","ES770733","TRT1105"
"635","ES770734","TRT1105"
"636","ES770735","TRT1105"
"637","ES770736","TRT1105"
"638","ES770737","TRT1105"
"639","ES770738","TRT1105"
"640","ES770739","TRT1105"
"641","ES770740","TRT1105"
"642","ES770741","TRT1105"
"643","ES770742","TRT1105"
"644","ES770743","TRT1105"
"645","ES770744","TRT1105"
"646","ES770745","TRT1105"
"647","ES770746","TRT1105"
"648","ES770747","TRT1105"
"649","ES770748","TRT1105"
"650","ES770749","TRT1105"
"651","ES770750","TRT1105"
"652","ES770751","TRT1105"
"653","ES770752","TRT1105"
"654","ES770753","TRT1105"
"655","ES770754","TRT1105"
"656","ES770755","TRT1105"
"657","ES770756","TRT1105"
"658","ES770757","TRT1105"
"659","ES770758","TRT1105"
"660","ES770759","TRT1105"
"661","ES770760","TRT1105"
"662","ES770761","TRT1105"
"663","ES770762","TRT1105"
"664","ES770763","TRT1105"
"665","ES770764","TRT1105"
"666","ES770765","TRT1105"
"667","ES770766","TRT1105"
"668","ES770767","TRT1105"
"669","ES770768","TRT1105"
"670","ES770769","TRT1105"
"671","ES770770","TRT1105"
"672","ES770771","TRT1105"
"673","ES770772","TRT1105"
"674","ES770773","TRT1105"
"675","ES770774","TRT1105"
"676","ES770775","TRT1105"
"677","ES770776","TRT1105"
"678","ES770777","TRT1105"
"679","ES770778","TRT1105"
"680","ES770779","TRT1105"
"681","ES770780","TRT1105"
"682","ES770781","TRT1105"
"683","ES770782","TRT1105"
"684","ES770783","TRT1105"
"685","ES770784","TRT1105"
"686","ES770785","TRT1105"
"687","ES770786","TRT1105"
"688","ES770787","TRT1105"
"689","ES770788","TRT1105"
"690","ES770789","TRT1105"
"691","ES770790","TRT1105"
"692","ES770791","TRT1105"
"693","ES770792","TRT1105"
"694","ES789718","TRT1416"
"695","ES789719","TRT1416"
"696","ES789720","TRT1416"
"697","ES789721","TRT1416"
"698","ES789722","TRT1416"
"699","ES789723","TRT1416"
"700","ES789724","TRT1416"
"701","ES789725","TRT1416"
"702","ES789726","TRT1416"
"703","ES789727","TRT1416"
"704","ES789728","TRT1416"
"705","ES789729","TRT1416"
"706","ES789730","TRT1416"
"707","ES789731","TRT1416"
"708","ES789732","TRT1416"
"709","ES789733","TRT1416"
"710","ES789734","TRT1416"
"711","ES789735","TRT1416"
"712","ES789736","TRT1416"
"713","ES789737","TRT1416"
"714","ES789738","TRT1416"
"715","ES789739","TRT1416"
"716","ES789740","TRT1416"
"717","ES789741","TRT1416"
"718","ES789742","TRT1416"
"719","ES789743","TRT1416"
"720","ES789744","TRT1416"
"721","ES789745","TRT1416"
"722","ES789746","TRT1416"
"723","ES789747","TRT1416"
"724","ES789748","TRT1416"
"725","ES789749","TRT1416"
"726","ES789750","TRT1416"
"727","ES789751","TRT1416"
