"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"844","BS709660","ES786141"
"845","BS709662","ES786142"
"846","BS709662","ES786143"
"847","BS709662","ES786144"
"848","BS709666","ES786145"
"849","BS709666","ES786146"
"850","BS709666","ES786147"
"851","BS709668","ES786148"
"852","BS709668","ES786149"
"853","BS709668","ES786150"
"854","BS709670","ES786151"
"855","BS709670","ES786152"
"856","BS709670","ES786153"
"857","BS709672","ES786154"
"858","BS709672","ES786155"
"859","BS709672","ES786156"
"860","BS709676","ES786157"
"861","BS709676","ES786158"
"862","BS709676","ES786159"
"863","BS709678","ES786160"
"864","BS709678","ES786161"
"865","BS709678","ES786162"
"866","BS709680","ES786183"
"867","BS709680","ES786184"
"868","BS709680","ES786185"
"869","BS709682","ES786186"
"870","BS709682","ES786187"
"871","BS709682","ES786188"
"872","BS709686","ES786189"
"873","BS709686","ES786190"
"874","BS709686","ES786191"
"875","BS709688","ES786192"
"876","BS709688","ES786193"
"877","BS709688","ES786194"
"878","BS709690","ES786195"
"879","BS709690","ES786196"
"880","BS709690","ES786197"
"881","BS709692","ES786198"
"882","BS709692","ES786199"
"883","BS709692","ES786200"
"884","BS709698","ES786201"
"885","BS709698","ES786202"
"886","BS709698","ES786203"
"887","BS709702","ES786204"
"888","BS709702","ES786205"
"889","BS709702","ES786206"
"890","BS709704","ES786207"
"891","BS709704","ES786208"
"892","BS709704","ES786209"
"893","BS709706","ES786210"
"894","BS709706","ES786211"
"895","BS709706","ES786212"
"896","BS709708","ES786213"
"897","BS709708","ES786214"
"898","BS709708","ES786215"
"899","BS709712","ES786216"
"900","BS709712","ES786217"
"901","BS709712","ES786218"
"902","BS709714","ES786219"
"903","BS709714","ES786220"
"904","BS709714","ES786221"
"905","BS709716","ES786222"
"906","BS709716","ES786223"
"907","BS709716","ES786224"
"908","BS709718","ES786225"
"909","BS709718","ES786226"
"910","BS709718","ES786227"
"911","BS709722","ES786228"
"912","BS709722","ES786229"
"913","BS709722","ES786230"
"914","BS709724","ES786231"
"915","BS709724","ES786232"
"916","BS709724","ES786233"
"917","BS709726","ES786234"
"918","BS709726","ES786235"
"919","BS709726","ES786236"
"920","BS709728","ES786237"
"921","BS709728","ES786238"
"922","BS709728","ES786239"
"923","BS709732","ES786240"
"924","BS709732","ES786241"
"925","BS709732","ES786242"
"926","BS709734","ES786243"
"927","BS709734","ES786244"
"928","BS709734","ES786245"
"929","BS709738","ES786246"
"930","BS709738","ES786247"
"931","BS709738","ES786248"
"932","BS709740","ES786249"
"933","BS709740","ES786250"
"934","BS709740","ES786251"
"935","BS709742","ES786252"
