"","EXPSAMPLE_ACCESSION","DESCRIPTION","EXPERIMENT_ACCESSION","NAME","RESULT_SCHEMA","UPLOAD_RESULT_STATUS","WORKSPACE_ID"
"109","ES768819",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"110","ES768820",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"111","ES768821",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"112","ES768822",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"113","ES768823",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"114","ES768824",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"115","ES768825",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"116","ES768826",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"117","ES768827",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"118","ES768828",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"119","ES768829",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"120","ES768830",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"121","ES768831",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"122","ES768832",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"123","ES768833",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"124","ES768834",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"125","ES768835",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"126","ES768836",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"127","ES768837",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"128","ES768838",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"129","ES768839",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"130","ES768840",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"131","ES768841",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
"132","ES768842",NA,"EXP13578",NA,"VIRUS NEUTRALIZATION","Parsed",2799
